epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
58,883.773,1.3421,2.6044,2.65057,1.36176,0,0.31692,0.2451,0.19774,0.10686,0.34772,0.21869,0.18941,0.08094,1.61686,3.07785,3.67311,1.6577,0,0.0008714,0.0008714,0.0008714
59,901.457,1.33454,2.59127,2.61754,1.34721,0,0.30235,0.21498,0.18408,0.09625,0.28742,0.20127,0.16723,0.06451,1.64459,3.19534,3.75795,1.69009,0,0.0008516,0.0008516,0.0008516
60,918.01,1.31268,2.54009,2.60426,1.33541,0,0.29869,0.27794,0.20404,0.11233,0.25926,0.25288,0.17711,0.07793,1.62007,3.13949,3.58194,1.6565,0,0.0008318,0.0008318,0.0008318
61,934.027,1.3284,2.5478,2.60913,1.34216,0,0.35305,0.23395,0.20108,0.10742,0.34971,0.21005,0.17165,0.07447,1.63608,3.09487,3.805,1.65955,0,0.000812,0.000812,0.000812
62,948.361,1.31335,2.5206,2.52102,1.33684,0,0.29162,0.23611,0.18266,0.09836,0.25895,0.22263,0.1648,0.07128,1.68183,3.14354,3.81152,1.69305,0,0.0007922,0.0007922,0.0007922
63,963.936,1.31053,2.50801,2.52271,1.3384,0,0.25513,0.28608,0.18357,0.09906,0.23311,0.26479,0.16782,0.07301,1.65547,3.13252,3.94132,1.68219,0,0.0007724,0.0007724,0.0007724
64,980.793,1.29736,2.54093,2.49474,1.33287,0,0.25918,0.25354,0.17871,0.09589,0.22139,0.24532,0.15607,0.06754,1.6726,3.45552,3.75069,1.68636,0,0.0007526,0.0007526,0.0007526
65,996.697,1.30702,2.5243,2.51979,1.33471,0,0.31151,0.25099,0.17808,0.09427,0.28553,0.23099,0.15859,0.06934,1.64851,3.12824,3.86263,1.67068,0,0.0007328,0.0007328,0.0007328
66,1011.48,1.27682,2.50525,2.49033,1.32362,0,0.28322,0.24845,0.19303,0.09911,0.26601,0.23706,0.16731,0.07049,1.6474,3.0919,3.84349,1.67532,0,0.000713,0.000713,0.000713
67,1025.69,1.28501,2.53384,2.48262,1.32714,0,0.31047,0.27713,0.20529,0.11065,0.27321,0.25997,0.17602,0.07893,1.63808,3.21201,3.58048,1.65254,0,0.0006932,0.0006932,0.0006932
