epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
88,1286.16,1.18955,2.32933,2.08356,1.25538,0,0.34124,0.25627,0.19686,0.11131,0.27082,0.2683,0.17903,0.08122,1.59418,3.08156,3.66609,1.62234,0,0.0002774,0.0002774,0.0002774
89,1300.07,1.17881,2.28596,2.11603,1.25099,0,0.29498,0.26678,0.19827,0.11025,0.2856,0.26122,0.18286,0.08184,1.61567,3.1346,3.71058,1.6571,0,0.0002576,0.0002576,0.0002576
90,1313.98,1.16615,2.27934,2.06233,1.24219,0,0.29427,0.26405,0.19415,0.10672,0.28226,0.25261,0.17228,0.07798,1.63171,3.15075,3.75952,1.66476,0,0.0002378,0.0002378,0.0002378
91,1342.64,1.12233,1.97058,1.90466,1.24194,0,0.33264,0.25711,0.1894,0.10661,0.32184,0.24352,0.17196,0.07535,1.61211,3.26712,3.72405,1.66755,0,0.000218,0.000218,0.000218
92,1357.19,1.11199,1.95873,1.75476,1.23834,0,0.31193,0.27161,0.19164,0.10319,0.28774,0.2552,0.17336,0.07836,1.61834,3.23563,3.79637,1.65588,0,0.0001982,0.0001982,0.0001982
93,1370.54,1.08912,1.88487,1.69758,1.21454,0,0.35003,0.24712,0.19067,0.10269,0.32678,0.23745,0.1721,0.07619,1.60882,3.23352,3.75075,1.65389,0,0.0001784,0.0001784,0.0001784
94,1383.95,1.09092,1.91303,1.70553,1.22463,0,0.35281,0.25087,0.19197,0.10389,0.33261,0.24253,0.17677,0.07806,1.62024,3.19422,3.69672,1.64939,0,0.0001586,0.0001586,0.0001586
95,1397.07,1.07887,1.88696,1.64956,1.20858,0,0.33819,0.25361,0.19468,0.10515,0.32558,0.24232,0.18118,0.08037,1.63439,3.19279,3.6827,1.67613,0,0.0001388,0.0001388,0.0001388
96,1410.49,1.10064,1.90079,1.70714,1.2286,0,0.32464,0.263,0.18692,0.10132,0.30715,0.2537,0.17457,0.07828,1.62267,3.1917,3.70658,1.65926,0,0.000119,0.000119,0.000119
97,1423.95,1.06992,1.85429,1.63459,1.20483,0,0.31661,0.26962,0.19151,0.10412,0.32146,0.25405,0.17634,0.07966,1.63685,3.21084,3.73055,1.67512,0,9.92e-05,9.92e-05,9.92e-05
98,1437.4,1.06446,1.86302,1.60447,1.20533,0,0.32284,0.26066,0.19358,0.10504,0.31571,0.24382,0.17659,0.07824,1.6216,3.19259,3.71625,1.66436,0,7.94e-05,7.94e-05,7.94e-05
99,1450.74,1.06088,1.84142,1.60324,1.20379,0,0.32253,0.2563,0.1918,0.1046,0.30499,0.246,0.17357,0.07664,1.62605,3.22364,3.75383,1.66855,0,5.96e-05,5.96e-05,5.96e-05
100,1466.35,1.07544,1.85546,1.58652,1.20353,0,0.33499,0.26537,0.19522,0.10595,0.30556,0.25415,0.17677,0.07831,1.63349,3.19497,3.74034,1.68105,0,3.98e-05,3.98e-05,3.98e-05
