epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,1124.6,1.30653,2.50295,2.69636,1.41904,0,0.22161,0.26321,0.15536,0.08111,0.22776,0.2306,0.13935,0.0589,1.70939,3.2814,4.22905,1.82137,0,0.0009308,0.0009308,0.0009308
56,1144.51,1.31941,2.53593,2.7186,1.41877,0,0.24883,0.2548,0.16056,0.08334,0.24331,0.24492,0.15392,0.06664,1.70666,3.15775,4.26873,1.86047,0,0.000911,0.000911,0.000911
57,1164.42,1.32518,2.52468,2.68634,1.41525,0,0.26794,0.25814,0.1734,0.08841,0.24322,0.2424,0.15544,0.06664,1.75128,3.20237,4.17051,1.89635,0,0.0008912,0.0008912,0.0008912
58,1184.27,1.32018,2.54465,2.70714,1.43047,0,0.25927,0.27613,0.1796,0.09179,0.24747,0.24855,0.16464,0.0699,1.71288,3.16295,3.96137,1.85566,0,0.0008714,0.0008714,0.0008714
59,1204.26,1.3117,2.49099,2.66748,1.41338,0,0.16776,0.29523,0.1506,0.07855,0.18088,0.2327,0.1315,0.0548,1.73247,3.29845,4.23403,1.86424,0,0.0008516,0.0008516,0.0008516
60,1224.27,1.2936,2.49876,2.62823,1.39735,0,0.30535,0.24371,0.17846,0.09195,0.27788,0.23181,0.15945,0.06855,1.70626,3.2276,4.13599,1.83991,0,0.0008318,0.0008318,0.0008318
61,1245.38,1.29375,2.43452,2.64561,1.38938,0,0.23662,0.27123,0.17408,0.09187,0.22962,0.25959,0.1634,0.06926,1.71721,3.19086,4.07332,1.83196,0,0.000812,0.000812,0.000812
62,1269.55,1.28857,2.4734,2.62389,1.39699,0,0.22176,0.2767,0.17042,0.09054,0.21381,0.24055,0.15185,0.06787,1.69179,3.30632,4.1437,1.84804,0,0.0007922,0.0007922,0.0007922
63,1293.26,1.27376,2.44488,2.5599,1.38572,0,0.25529,0.26504,0.16929,0.08729,0.25078,0.2543,0.157,0.06638,1.70619,3.19208,4.114,1.83253,0,0.0007724,0.0007724,0.0007724
64,1316.08,1.27557,2.43124,2.55636,1.3956,0,0.23394,0.23646,0.15913,0.0839,0.2306,0.23125,0.14409,0.06116,1.7202,3.08292,4.00745,1.82957,0,0.0007526,0.0007526,0.0007526
65,1339.86,1.26898,2.44872,2.57144,1.39174,0,0.28012,0.25581,0.18382,0.09737,0.26032,0.23486,0.16058,0.07032,1.75495,3.26449,4.02523,1.88751,0,0.0007328,0.0007328,0.0007328
66,1363.69,1.28389,2.4575,2.56904,1.3947,0,0.26364,0.26229,0.18066,0.09325,0.24819,0.22747,0.15833,0.0689,1.72035,3.20407,3.99891,1.83574,0,0.000713,0.000713,0.000713
67,1387.48,1.25505,2.43134,2.50134,1.38055,0,0.28171,0.255,0.17107,0.09083,0.27264,0.23678,0.14724,0.06646,1.73194,3.20309,4.1544,1.8594,0,0.0006932,0.0006932,0.0006932
68,1411.32,1.27611,2.42549,2.55897,1.37629,0,0.26699,0.26794,0.17705,0.0934,0.26998,0.25191,0.16556,0.07208,1.70136,3.17372,3.99339,1.84386,0,0.0006734,0.0006734,0.0006734
69,1435.08,1.26747,2.43908,2.52505,1.38429,0,0.26567,0.31612,0.18284,0.09414,0.27083,0.26743,0.17099,0.07313,1.70326,3.14222,3.93114,1.83341,0,0.0006536,0.0006536,0.0006536
70,1458.82,1.23808,2.40881,2.47558,1.36348,0,0.23724,0.28072,0.16606,0.08596,0.25455,0.24163,0.15214,0.06723,1.69612,3.14936,3.95641,1.81937,0,0.0006338,0.0006338,0.0006338
